Datum;Site;Jaar;Meetpunt;Plot;Beginuur;Einduur;Aantal open;Aantal toe;Toe nieuw;Toe oud;Activiteit vr;Activiteit ml;Prooi;Par
30/06/2018;Westhoek Zuid;2018;1;1;12:52;13:07;26;7;NA;NA;4;2;3;2
30/06/2018;Westhoek Zuid;2018;1;2;13:08;13:23;18;3;NA;NA;0;1;0;0
30/06/2018;Westhoek Zuid;2018;1;3;13:23;13:34;15;5;NA;NA;1;0;0;0
30/06/2018;Westhoek Zuid;2018;1;4;13:39;13:54;11;8;NA;NA;2;2;1;0
30/06/2018;Westhoek Zuid;2018;1;5;14:01;14:15;20;9;NA;NA;3;1;1;0
30/06/2018;Controle thesis;2018;1;1;14:23;14:38;30;17;NA;NA;8;0;3;2
30/06/2018;Controle thesis;2018;1;2;14:39;14:54;14;8;NA;NA;2;0;0;0
30/06/2018;Controle thesis;2018;1;3;14:54;15:09;27;17;NA;NA;1;0;0;0
30/06/2018;Controle thesis;2018;1;4;15:09;15:24;26;26;NA;NA;7;2;1;0
30/06/2018;Controle thesis;2018;1;5;15:25;15:40;19;15;NA;NA;5;2;2;2
7/07/2018;Cabour;2018;2;1;11:41;11:57;32;8;NA;NA;11;1;5;1
7/07/2018;Cabour;2018;2;2;12:00;12:15;8;15;NA;NA;9;1;1;0
7/07/2018;Cabour;2018;2;3;12:27;12:42;25;22;NA;NA;15;0;13;3
7/07/2018;Westhoek Zuid;2018;2;5;13:16;13:31;22;14;NA;NA;5;0;4;2
7/07/2018;Westhoek Zuid;2018;2;4;13:32;13:47;10;6;NA;NA;2;0;2;0
7/07/2018;Westhoek Zuid;2018;2;3;13:48;14:03;9;3;NA;NA;2;0;0;0
7/07/2018;Westhoek Zuid;2018;2;2;14:03;14:18;11;1;NA;NA;1;0;0;0
7/07/2018;Westhoek Zuid;2018;2;1;14:18;14:33;22;11;NA;NA;4;0;2;1
7/07/2018;Controle thesis;2018;2;5;14:40;14:55;17;16;NA;NA;4;0;2;0
7/07/2018;Controle thesis;2018;2;4;14:56;15:11;20;40;NA;NA;7;0;5;3
7/07/2018;Controle thesis;2018;2;3;15:12;15:27;25;23;NA;NA;4;0;0;1
